name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,4856698605,6908897.3249144005,144
CHashMap,33554432,2,3841111147,8735605.588035852,228
CHashMap,33554432,4,5045955474,6649767.754173408,601
CHashMap,33554432,8,4554687225,7367011.244114572,1085
CHashMap,33554432,12,4813548233,6970831.157349287,1721
CHashMap,33554432,16,4771917195,7031645.904325043,2275
CHashMap,33554432,24,5199811683,6453009.079098221,3719
CHashMap,33554432,32,5532397587,6065079.646272357,5276
CHashMap,33554432,48,5836800516,5748771.4216066925,8349
CHashMap,33554432,64,6052223917,5544149.135948104,11543
CHashMap,33554432,96,5929763849,5658645.580912745,16965
CHashMap,33554432,128,6789096636,4942400.115808279,25898
CHashMap,33554432,192,7654650172,4383535.660811646,43800
CrossbeamSkipMap,33554432,1,69348143287,483854.7999927507,2066
CrossbeamSkipMap,33554432,2,37646068954,891313.0356585279,2243
CrossbeamSkipMap,33554432,4,19943706560,1682457.1650737326,2377
CrossbeamSkipMap,33554432,8,13169134994,2547960.212670594,3139
CrossbeamSkipMap,33554432,12,10965092254,3060113.9710210413,3921
CrossbeamSkipMap,33554432,16,9052391744,3706692.4354262683,4316
CrossbeamSkipMap,33554432,24,7271270840,4614658.52920973,5200
CrossbeamSkipMap,33554432,32,6165923966,5441914.6562664565,5880
CrossbeamSkipMap,33554432,48,6183830929,5426156.1134605855,8846
CrossbeamSkipMap,33554432,64,4908882100,6835452.821325654,9362
CrossbeamSkipMap,33554432,96,3804922954,8818688.947361007,10885
CrossbeamSkipMap,33554432,128,5412416779,6199528.486089634,20646
CrossbeamSkipMap,33554432,192,5431776634,6177432.221709432,31080
DashMap,33554432,1,4630742316,7246015.802706997,138
DashMap,33554432,2,2066588159,16236632.27424889,123
DashMap,33554432,4,1077031455,31154551.563213166,128
DashMap,33554432,8,1073054738,31270009.63859497,255
DashMap,33554432,12,628791007,53363409.505632445,224
DashMap,33554432,16,515633051,65074245.98738532,245
DashMap,33554432,24,454608825,73809460.25409867,325
DashMap,33554432,32,445262100,75358832.47193058,424
DashMap,33554432,48,444649955,75462578.1981694,636
DashMap,33554432,64,475196638,70611678.02285671,906
DashMap,33554432,96,362995554,92437583.96005037,1038
DashMap,33554432,128,303629101,110511251.68664251,1158
DashMap,33554432,192,332674945,100862516.11163564,1903
Flurry,33554432,1,7779746587,4313049.483651517,231
Flurry,33554432,2,5033138607,6666701.36072412,299
Flurry,33554432,4,3665154409,9154984.55333973,436
Flurry,33554432,8,2190282068,15319685.300003104,522
Flurry,33554432,12,1726978132,19429563.91760495,617
Flurry,33554432,16,3231749420,10382745.578090025,1541
Flurry,33554432,24,3654846872,9180803.786079932,2614
Flurry,33554432,32,3057593836,10974129.92037442,2915
Flurry,33554432,48,3552190146,9446124.959775731,5081
Flurry,33554432,64,2745299888,12222501.500353392,5236
Flurry,33554432,96,2896505495,11584453.079036882,8286
Flurry,33554432,128,2394599686,14012543.389266945,9134
Flurry,33554432,192,2420987561,13859811.814208657,13853
Evmap,33554432,1,17299993716,1939563.2478737254,515
Evmap,33554432,2,33318526792,1007080.3012832081,1985
Evmap,33554432,4,42120603536,796627.5215245055,5021
Evmap,33554432,8,51370001598,653191.1807708875,12247
Evmap,33554432,12,57007155618,588600.3543984081,20387
Evmap,33554432,16,59965107503,559565.944217165,28593
Evmap,33554432,24,57945398099,579069.8329947115,41445
Evmap,33554432,32,59343069884,565431.3480173849,56593
Evmap,33554432,48,72235074884,464517.162249558,103333
Evmap,33554432,64,64139669710,523146.3172746668,122336
Evmap,33554432,96,83201015150,403293.5408240629,238040
Evmap,33554432,128,70657186172,474890.578267847,269535
Evmap,33554432,192,108251443551,309967.5246750096,619419
Contrie,33554432,1,15038454630,2231242.027559317,448
Contrie,33554432,2,9284530139,3614015.0872097895,553
Contrie,33554432,4,5036030894,6662872.549089649,600
Contrie,33554432,8,3636146529,9228019.754536135,866
Contrie,33554432,12,2773224055,12099430.602984583,991
Contrie,33554432,16,2198815862,15260228.280088695,1048
Contrie,33554432,24,1424252082,23559335.053160906,1018
Contrie,33554432,32,1226834529,27350413.773689933,1170
Contrie,33554432,48,1190849451,28176888.33111785,1703
Contrie,33554432,64,1421356399,23607331.717511058,2711
Contrie,33554432,96,1104490771,30380002.152141113,3159
Contrie,33554432,128,1420535723,23620970.213362243,5418
Contrie,33554432,192,1779726054,18853706.122122098,10183
SccMap,33554432,1,4366476503,7684555.722891519,130
SccMap,33554432,2,2474372593,13560783.891207607,147
SccMap,33554432,4,1268283944,26456561.3707714,151
SccMap,33554432,8,1146943891,29255513.07548662,273
SccMap,33554432,12,797732631,42062253.3115359,285
SccMap,33554432,16,600471464,55880144.20615332,286
SccMap,33554432,24,428350172,78334115.85509998,306
SccMap,33554432,32,403665619,83124324.73968016,384
SccMap,33554432,48,300431779,111687359.14585121,429
SccMap,33554432,64,230746904,145416607.6265101,440
SccMap,33554432,96,346384686,96870425.73238933,991
SccMap,33554432,128,160016862,209693100.96832168,610
SccMap,33554432,192,165292602,203000204.4495615,945
