name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,4978291671,6740149.878213112,148
CHashMap,33554432,2,3779576019,8877829.637853885,225
CHashMap,33554432,4,4656808264,7205457.063670938,555
CHashMap,33554432,8,4347212106,7718609.348204645,1036
CHashMap,33554432,12,4400271902,7625536.045795017,1573
CHashMap,33554432,16,4416324475,7597818.545703665,2105
CHashMap,33554432,24,5709591048,5876853.826817195,4083
CHashMap,33554432,32,5521347669,6077217.739501128,5265
CHashMap,33554432,48,5956559069,5633190.5066851275,8520
CHashMap,33554432,64,5794055031,5791182.827997548,11051
CHashMap,33554432,96,5953251595,5636320.162947859,17032
CHashMap,33554432,128,6275960283,5346501.648662521,23940
CHashMap,33554432,192,7631389299,4396896.90635975,43667
CrossbeamSkipMap,33554432,1,70471325217,476143.0538829369,2100
CrossbeamSkipMap,33554432,2,37556534091,893437.927970061,2238
CrossbeamSkipMap,33554432,4,19304739381,1738144.7808109105,2301
CrossbeamSkipMap,33554432,8,12864128964,2608371.86053571,3067
CrossbeamSkipMap,33554432,12,11361370742,2953378.845033028,4063
CrossbeamSkipMap,33554432,16,11294817640,2970781.2086464106,5385
CrossbeamSkipMap,33554432,24,6476167667,5181217.307108982,4632
CrossbeamSkipMap,33554432,32,6204711640,5407895.474736357,5917
CrossbeamSkipMap,33554432,48,5969855865,5620643.573109115,8539
CrossbeamSkipMap,33554432,64,5043228390,6653363.561034363,9619
CrossbeamSkipMap,33554432,96,5379521290,6237438.27585075,15390
CrossbeamSkipMap,33554432,128,5292581043,6339899.517340276,20189
CrossbeamSkipMap,33554432,192,5351966356,6269552.117490927,30624
DashMap,33554432,1,8041706863,4172550.998393685,239
DashMap,33554432,2,3901756469,8599827.351244152,232
DashMap,33554432,4,2052282183,16349814.015804863,244
DashMap,33554432,8,1748837199,19186709.900262132,416
DashMap,33554432,12,1263824416,26549915.933891878,451
DashMap,33554432,16,763945171,43922565.746540986,364
DashMap,33554432,24,770365866,43556488.52177986,551
DashMap,33554432,32,656327852,51124498.065640524,625
DashMap,33554432,48,781821640,42918269.69639776,1118
DashMap,33554432,64,578953170,57957074.49015263,1104
DashMap,33554432,96,423153537,79296116.10454293,1210
DashMap,33554432,128,365311614,91851533.63342015,1393
DashMap,33554432,192,392398410,85511131.40341216,2245
Flurry,33554432,1,8118917689,4132870.0801415406,241
Flurry,33554432,2,5586834744,6005982.553186471,333
Flurry,33554432,4,3179767448,10552479.874308093,379
Flurry,33554432,8,2870772149,11688295.0852398,684
Flurry,33554432,12,2520278203,13313780.978646982,901
Flurry,33554432,16,3080756486,10891620.987404456,1469
Flurry,33554432,24,1783679980,18811912.661597513,1275
Flurry,33554432,32,1206252725,27817082.858818,1150
Flurry,33554432,48,2677135817,12533705.532206101,3829
Flurry,33554432,64,2802397790,11973472.188614594,5345
Flurry,33554432,96,2376124319,14121496.813820539,6798
Flurry,33554432,128,2614275712,12835077.741027493,9972
Flurry,33554432,192,1745866206,19219360.501213573,9989
Evmap,33554432,1,17912651438,1873225.3076067476,533
Evmap,33554432,2,28766981254,1166421.7285689062,1714
Evmap,33554432,4,39608342595,847155.6697814409,4721
Evmap,33554432,8,53657335532,625346.5936635805,12792
Evmap,33554432,12,54004118383,621330.9837229493,19313
Evmap,33554432,16,58464801859,573925.3522302782,27878
Evmap,33554432,24,59649896450,562522.8876654655,42664
Evmap,33554432,32,63975925286,524485.2942727628,61012
Evmap,33554432,48,61769050030,543224.0253606503,88361
Evmap,33554432,64,89413073506,375274.3383521913,170541
Evmap,33554432,96,90482975864,370836.9633027303,258873
Evmap,33554432,128,95412119731,351678.9281550565,363968
Evmap,33554432,192,81765066991,410376.1329235306,467863
Contrie,33554432,1,15486162030,2166736.4667241573,461
Contrie,33554432,2,9870007965,3399635.7570315297,588
Contrie,33554432,4,5358147382,6262319.717580325,638
Contrie,33554432,8,3735723890,8982042.835076872,890
Contrie,33554432,12,2913708397,11516057.006441748,1042
Contrie,33554432,16,1892941329,17726081.356005937,902
Contrie,33554432,24,1391801339,24108636.096088707,995
Contrie,33554432,32,1406619841,23854655.694423694,1341
Contrie,33554432,48,996191925,33682698.24110449,1425
Contrie,33554432,64,1258113554,26670432.007761363,2399
Contrie,33554432,96,1269192394,26437624.554500755,3631
Contrie,33554432,128,1372843990,24441547.797430355,5236
Contrie,33554432,192,1591196832,21087543.24116201,9104
SccMap,33554432,1,8655632667,3876600.739761961,257
SccMap,33554432,2,3510861006,9557322.817011572,209
SccMap,33554432,4,1764508613,19016303.88924602,210
SccMap,33554432,8,1356082469,24743651.486582268,323
SccMap,33554432,12,1096114340,30612164.055804618,392
SccMap,33554432,16,675792559,49651970.1987426,322
SccMap,33554432,24,669759179,50099249.18102541,479
SccMap,33554432,32,545156538,61550086.37170559,519
SccMap,33554432,48,325879965,102965618.03055306,466
SccMap,33554432,64,262286730,127930345.54207145,500
SccMap,33554432,96,355229661,94458418.54968299,1016
SccMap,33554432,128,139655973,240264925.86894226,532
SccMap,33554432,192,200650471,167228274.2859846,1148
