name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,4821806980,6958891.5813465435,143
CHashMap,33554432,2,4548897238,7376388.219917839,271
CHashMap,33554432,4,4408390458,7611492.747678023,525
CHashMap,33554432,8,4376670612,7666656.912220014,1043
CHashMap,33554432,12,4638640776,7233677.626775555,1658
CHashMap,33554432,16,4474315636,7499343.973416542,2133
CHashMap,33554432,24,5053880063,6639340.78009797,3614
CHashMap,33554432,32,5185882925,6470341.2100264495,4945
CHashMap,33554432,48,6004754599,5587977.234837869,8589
CHashMap,33554432,64,5630271517,5959647.221041827,10738
CHashMap,33554432,96,9263051873,3622394.9147693603,26501
CHashMap,33554432,128,5998084310,5594191.456105091,22880
CHashMap,33554432,192,7935642883,4228319.305028384,45408
CrossbeamSkipMap,33554432,1,61691318616,543908.490736936,1838
CrossbeamSkipMap,33554432,2,32655252788,1027535.5152764405,1946
CrossbeamSkipMap,33554432,4,21732208371,1543995.5032262562,2590
CrossbeamSkipMap,33554432,8,11824924589,2837602.1975830295,2819
CrossbeamSkipMap,33554432,12,10295253600,3259213.740980601,3681
CrossbeamSkipMap,33554432,16,8993514935,3730958.6121235476,4288
CrossbeamSkipMap,33554432,24,7292008583,4601534.901950896,5215
CrossbeamSkipMap,33554432,32,7218924905,4648120.3837928,6884
CrossbeamSkipMap,33554432,48,6799736827,4934666.275136416,9727
CrossbeamSkipMap,33554432,64,5992848793,5599078.695126357,11430
CrossbeamSkipMap,33554432,96,4976023322,6743222.414502985,14236
CrossbeamSkipMap,33554432,128,4944191043,6786637.431315779,18860
CrossbeamSkipMap,33554432,192,5450311345,6156424.812461792,31186
DashMap,33554432,1,3457670529,9704346.240792451,103
DashMap,33554432,2,2225813786,15075129.919246534,132
DashMap,33554432,4,1210536188,27718652.554647956,144
DashMap,33554432,8,765069636,43858010.331493534,182
DashMap,33554432,12,835177040,40176430.13749516,298
DashMap,33554432,16,543070144,61786552.56732361,258
DashMap,33554432,24,489845099,68500087.20818089,350
DashMap,33554432,32,471447311,71173238.69941428,449
DashMap,33554432,48,510996553,65664693.43678723,730
DashMap,33554432,64,406099702,82626093.62860355,774
DashMap,33554432,96,478654369,70101589.31611048,1369
DashMap,33554432,128,392021345,85593380.12576841,1495
DashMap,33554432,192,413361593,81174527.50381674,2365
Flurry,33554432,1,11317374414,2964860.114417701,337
Flurry,33554432,2,5561332926,6033523.3381063,331
Flurry,33554432,4,3469476327,9671324.671932254,413
Flurry,33554432,8,2979959679,11260028.8643033,710
Flurry,33554432,12,2732862253,12278127.799220622,977
Flurry,33554432,16,4364595034,7687868.344855016,2081
Flurry,33554432,24,2474818055,13558342.978874058,1770
Flurry,33554432,32,5407393765,6205287.326620276,5156
Flurry,33554432,48,2707215784,12394443.10213877,3872
Flurry,33554432,64,2598585160,12912577.396539893,4956
Flurry,33554432,96,4055693787,8273413.566762456,11603
Flurry,33554432,128,3618142821,9273937.945524788,13802
Flurry,33554432,192,3003202783,11172882.560558017,17184
Evmap,33554432,1,20751164945,1616990.2792895949,618
Evmap,33554432,2,30303933220,1107263.2636959064,1806
Evmap,33554432,4,44906438700,747207.5936406865,5353
Evmap,33554432,8,77669112455,432017.708705514,18517
Evmap,33554432,12,67154252440,499662.05833323405,24016
Evmap,33554432,16,62002935089,541174.8968308587,29565
Evmap,33554432,24,73539812965,456275.732112205,52599
Evmap,33554432,32,74376905899,451140.4661759551,70931
Evmap,33554432,48,87984395218,381367.9905040181,125862
Evmap,33554432,64,99176533102,338330.3585081998,189164
Evmap,33554432,96,101480401679,330649.38101189677,290337
Evmap,33554432,128,112610831515,297968.0688667189,429576
Evmap,33554432,192,85915675535,390550.7556223628,491613
Contrie,33554432,1,13137476516,2554100.245898396,391
Contrie,33554432,2,7655073944,4383292.995660709,456
Contrie,33554432,4,4445070500,7548683.873517867,529
Contrie,33554432,8,2423153524,13847423.065712448,577
Contrie,33554432,12,1701749858,19717605.288614634,608
Contrie,33554432,16,1642956738,20423198.75132342,783
Contrie,33554432,24,1210921660,27709828.89182113,866
Contrie,33554432,32,1478262849,22698555.958907142,1409
Contrie,33554432,48,1215476876,27605981.374507036,1738
Contrie,33554432,64,886861557,37835028.179037414,1691
Contrie,33554432,96,996132433,33684709.872306705,2849
Contrie,33554432,128,783845366,42807463.634351574,2990
Contrie,33554432,192,1052535326,31879625.482518006,6022
SccMap,33554432,1,4521174540,7421618.365567458,134
SccMap,33554432,2,2621310374,12800632.970752513,156
SccMap,33554432,4,1330998612,25209967.68702866,158
SccMap,33554432,8,877533954,38237189.395408854,209
SccMap,33554432,12,597004813,56204625.60659457,213
SccMap,33554432,16,569600330,58908729.91593948,271
SccMap,33554432,24,385929096,86944551.07888523,276
SccMap,33554432,32,388682363,86328671.41440117,370
SccMap,33554432,48,246639832,136046281.44573176,352
SccMap,33554432,64,217090662,154564142.42267132,414
SccMap,33554432,96,190167049,176447140.42967558,544
SccMap,33554432,128,162152622,206931171.30107215,618
SccMap,33554432,192,210912791,159091498.62798032,1206
