name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,5612050202,5978997.1208814215,167
CHashMap,33554432,2,3788365105,8857232.888063993,225
CHashMap,33554432,4,4317537619,7771659.441330277,514
CHashMap,33554432,8,4290345257,7820916.497396937,1022
CHashMap,33554432,12,4621586822,7260370.364627113,1652
CHashMap,33554432,16,4747074619,7068444.1878582565,2263
CHashMap,33554432,24,5173640251,6485652.339958184,3700
CHashMap,33554432,32,5983992201,5607365.596899113,5706
CHashMap,33554432,48,5494411477,6107011.122203216,7859
CHashMap,33554432,64,6356723524,5278573.44641689,12124
CHashMap,33554432,96,5859849291,5726159.553546102,16765
CHashMap,33554432,128,9128700893,3675707.2439222927,34823
CHashMap,33554432,192,7357077870,4560836.869326218,42097
CrossbeamSkipMap,33554432,1,60723647805,552576.0261925029,1809
CrossbeamSkipMap,33554432,2,32654091194,1027572.0674830916,1946
CrossbeamSkipMap,33554432,4,17415674120,1926680.0566431363,2076
CrossbeamSkipMap,33554432,8,11794534182,2844913.710217437,2812
CrossbeamSkipMap,33554432,12,9140145286,3671104.884010484,3268
CrossbeamSkipMap,33554432,16,8242044566,4071129.648876009,3930
CrossbeamSkipMap,33554432,24,7419540540,4522440.684716577,5306
CrossbeamSkipMap,33554432,32,7079980718,4739339.461008967,6751
CrossbeamSkipMap,33554432,48,6538608702,5131738.803965516,9353
CrossbeamSkipMap,33554432,64,5650661318,5938142.477786349,10777
CrossbeamSkipMap,33554432,96,5433742612,6175197.169975927,15546
CrossbeamSkipMap,33554432,128,5365171907,6254120.572766952,20466
CrossbeamSkipMap,33554432,192,4061988687,8260592.184165282,23242
DashMap,33554432,1,4981473986,6735844.0683022365,148
DashMap,33554432,2,3456439584,9707802.258521987,206
DashMap,33554432,4,1786437074,18782879.334713135,212
DashMap,33554432,8,1318830338,25442569.09564663,314
DashMap,33554432,12,1066041293,31475733.83913938,381
DashMap,33554432,16,886559693,37847910.59748754,422
DashMap,33554432,24,791785317,42378194.29025861,566
DashMap,33554432,32,569155321,58954789.24987508,542
DashMap,33554432,48,462367909,72570849.63480888,661
DashMap,33554432,64,491603348,68255092.51820637,937
DashMap,33554432,96,421807329,79549191.52198988,1206
DashMap,33554432,128,393535233,85264111.53636147,1501
DashMap,33554432,192,370252762,90625743.93435584,2118
Flurry,33554432,1,11572534481,2899488.6172160716,344
Flurry,33554432,2,5969199252,5621261.844921239,355
Flurry,33554432,4,3714779703,9032684.218905887,442
Flurry,33554432,8,3191915121,10512319.635080922,761
Flurry,33554432,12,2559387760,13110335.418654969,915
Flurry,33554432,16,1656883808,20251529.912953317,790
Flurry,33554432,24,2477259497,13544980.669419147,1771
Flurry,33554432,32,2692653972,12461471.971118908,2567
Flurry,33554432,48,2555377814,13130908.398815738,3655
Flurry,33554432,64,2681480697,12513396.810031185,5114
Flurry,33554432,96,2254110490,14885886.095139906,6449
Flurry,33554432,128,2154287559,15575651.384059262,8217
Flurry,33554432,192,1032342468,32503198.347546816,5907
Evmap,33554432,1,20336419282,1649967.554991326,606
Evmap,33554432,2,34337229717,977202.6536953724,2046
Evmap,33554432,4,57622504161,582314.7134711003,6869
Evmap,33554432,8,65133374309,515164.9573813576,15529
Evmap,33554432,12,62883537815,533596.4413884496,22488
Evmap,33554432,16,65273852578,514056.2518491399,31124
Evmap,33554432,24,69859608361,480312.34052454523,49967
Evmap,33554432,32,70107166296,478616.29235347465,66859
Evmap,33554432,48,79304661348,423107.9413195958,113446
Evmap,33554432,64,70560017675,475544.55207979085,134582
Evmap,33554432,96,83127691319,403649.2709900469,237830
Evmap,33554432,128,99790419379,336249.03281107196,380670
Evmap,33554432,192,146451794225,229115.8819703426,838003
Contrie,33554432,1,14106825219,2378595.571936816,420
Contrie,33554432,2,7709062058,4352595.912129055,459
Contrie,33554432,4,4065097793,8254274.241023161,484
Contrie,33554432,8,2755962537,12175213.396233477,657
Contrie,33554432,12,1922590367,17452720.338112462,687
Contrie,33554432,16,1538164152,21814597.587891255,733
Contrie,33554432,24,1256719314,26700020.940395925,898
Contrie,33554432,32,987641554,33974301.57135733,941
Contrie,33554432,48,1699537853,19743268.407214463,2431
Contrie,33554432,64,937612149,35787113.078459054,1788
Contrie,33554432,96,1065227374,31499783.819862667,3047
Contrie,33554432,128,857202644,39144106.97967936,3269
Contrie,33554432,192,1075865606,31188311.823400736,6156
SccMap,33554432,1,5422242389,6188294.361032483,161
SccMap,33554432,2,3033775483,11060288.471584303,180
SccMap,33554432,4,1574894146,21305833.211218245,187
SccMap,33554432,8,1217784085,27553679.18936139,290
SccMap,33554432,12,1034933856,32421813.0515966,370
SccMap,33554432,16,653274553,51363445.65376022,311
SccMap,33554432,24,599341408,55985506.010624245,428
SccMap,33554432,32,468084564,71684551.42648114,446
SccMap,33554432,48,396654242,84593654.74276209,567
SccMap,33554432,64,291725703,115020485.52780418,556
SccMap,33554432,96,235676614,142374890.02621192,674
SccMap,33554432,128,229524173,146191277.20373052,875
SccMap,33554432,192,195067608,172014371.5506062,1116
