name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,4877646359,6879226.071420074,145
CHashMap,33554432,2,4099775427,8184456.099477958,244
CHashMap,33554432,4,4389423279,7644382.841940088,523
CHashMap,33554432,8,4317900494,7771006.313514181,1029
CHashMap,33554432,12,4497458639,7460753.881988063,1608
CHashMap,33554432,16,5156278670,6507490.022838506,2458
CHashMap,33554432,24,5404299442,6208840.268773545,3865
CHashMap,33554432,32,5680311523,5907146.441552656,5417
CHashMap,33554432,48,5683903800,5903413.0732472995,8130
CHashMap,33554432,64,5614224544,5976681.505526901,10708
CHashMap,33554432,96,6113316821,5488744.16008285,17490
CHashMap,33554432,128,6263030551,5357539.24985125,23891
CHashMap,33554432,192,7198070152,4661587.243724879,41187
CrossbeamSkipMap,33554432,1,62571278026,536259.3358898192,1864
CrossbeamSkipMap,33554432,2,33230437016,1009749.946527757,1980
CrossbeamSkipMap,33554432,4,16932173279,1981696.7052667497,2018
CrossbeamSkipMap,33554432,8,10577042766,3172383.12658251,2521
CrossbeamSkipMap,33554432,12,7963738750,4213401.902466979,2848
CrossbeamSkipMap,33554432,16,6996718798,4795738.2551363185,3336
CrossbeamSkipMap,33554432,24,5068388988,6620334.800553789,3625
CrossbeamSkipMap,33554432,32,5368494831,6250249.475186652,5119
CrossbeamSkipMap,33554432,48,4153895447,8077822.956336917,5942
CrossbeamSkipMap,33554432,64,4973288318,6746930.773861481,9485
CrossbeamSkipMap,33554432,96,5106826935,6570505.017515343,14610
CrossbeamSkipMap,33554432,128,3436963986,9762811.637444956,13110
CrossbeamSkipMap,33554432,192,3048762753,11005917.717599457,17445
DashMap,33554432,1,2029719663,16531559.806838213,60
DashMap,33554432,2,1619237876,20722361.11650837,96
DashMap,33554432,4,833363504,40263860.654977754,99
DashMap,33554432,8,667082034,50300308.342586845,159
DashMap,33554432,12,444903367,75419595.55455557,159
DashMap,33554432,16,352592108,95165011.46418172,168
DashMap,33554432,24,329198009,101927809.65452315,235
DashMap,33554432,32,239954225,139836804.290485,228
DashMap,33554432,48,258588551,129759928.93049623,369
DashMap,33554432,64,239936291,139847256.3702337,457
DashMap,33554432,96,245444307,136708943.91532984,702
DashMap,33554432,128,203236104,165100744.1079465,775
DashMap,33554432,192,226551456,148109540.2891606,1296
Flurry,33554432,1,5158249721,6505003.405204468,153
Flurry,33554432,2,2777768964,12079633.848195016,165
Flurry,33554432,4,1263876617,26548819.361534245,150
Flurry,33554432,8,776212653,43228401.22525032,185
Flurry,33554432,12,668422241,50199454.68870178,239
Flurry,33554432,16,641457184,52309698.66260006,305
Flurry,33554432,24,460160539,72918968.82970229,329
Flurry,33554432,32,483111168,69454887.86547779,460
Flurry,33554432,48,293841141,114192423.44964895,420
Flurry,33554432,64,457079058,73410565.22436433,871
Flurry,33554432,96,453791620,73942379.10343078,1298
Flurry,33554432,128,445411296,75333590.10275303,1699
Flurry,33554432,192,447918721,74911876.70184475,2563
Evmap,33554432,1,6291831397,5333015.124340274,187
Evmap,33554432,2,5325110164,6301171.424929793,317
Evmap,33554432,4,2078376870,16144536.866405753,247
Evmap,33554432,8,1784624747,18801953.775663964,425
Evmap,33554432,12,1956062621,17154068.402393952,699
Evmap,33554432,16,1896221701,17695416.091011185,904
Evmap,33554432,24,2090065852,16054246.313766386,1494
Evmap,33554432,32,2352008828,14266286.588954931,2243
Evmap,33554432,48,2893482240,11596557.095162954,4139
Evmap,33554432,64,2979304249,11262506.006649876,5682
Evmap,33554432,96,3513545216,9550021.39924076,10052
Evmap,33554432,128,2893773231,11595390.972776609,11038
Evmap,33554432,192,4411491657,7606142.005676698,25242
Contrie,33554432,1,6902606938,4861124.543435506,205
Contrie,33554432,2,3453018491,9717420.305583877,205
Contrie,33554432,4,1885512814,17795918.30448308,224
Contrie,33554432,8,1242530674,27004912.395426307,296
Contrie,33554432,12,973888712,34454072.20204026,348
Contrie,33554432,16,774616254,43317490.2110949,369
Contrie,33554432,24,721801531,46487061.27501965,516
Contrie,33554432,32,550838757,60915161.78481247,525
Contrie,33554432,48,485203786,69155338.37157652,694
Contrie,33554432,64,509536062,65852909.15091305,971
Contrie,33554432,96,438650910,76494613.90607853,1254
Contrie,33554432,128,447963369,74904410.3202108,1708
Contrie,33554432,192,422430175,79431901.37873082,2417
SccMap,33554432,1,3234404633,10374222.09257638,96
SccMap,33554432,2,1814401658,18493386.980800476,108
SccMap,33554432,4,911542669,36810599.3730503,108
SccMap,33554432,8,744087162,45094760.01415006,177
SccMap,33554432,12,632316549,53065876.66108989,226
SccMap,33554432,16,473121440,70921393.8814525,225
SccMap,33554432,24,348274049,96344910.26921159,249
SccMap,33554432,32,322678832,103987087.69343753,307
SccMap,33554432,48,353454121,94932920.58688432,505
SccMap,33554432,64,341171581,98350606.75818716,650
SccMap,33554432,96,409199088,82000260.95854838,1170
SccMap,33554432,128,244911056,137006603.73617435,934
SccMap,33554432,192,188589859,177922780.03665087,1079
