name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,4836336318,6937985.655612133,144
CHashMap,33554432,2,3981881509,8426778.125908317,237
CHashMap,33554432,4,4404963060,7617415.0708995955,525
CHashMap,33554432,8,4338653178,7733835.967840063,1034
CHashMap,33554432,12,4668605079,7187250.0312635675,1669
CHashMap,33554432,16,5483885585,6118733.055222923,2614
CHashMap,33554432,24,5508606695,6091273.86612233,3940
CHashMap,33554432,32,5733614633,5852230.0760983145,5468
CHashMap,33554432,48,5930993917,5657471.997032904,8484
CHashMap,33554432,64,5803222601,5782034.277681846,11068
CHashMap,33554432,96,5934968958,5653682.814089623,16980
CHashMap,33554432,128,6266219448,5354812.782803134,23903
CHashMap,33554432,192,7255138775,4624919.390325515,41514
CrossbeamSkipMap,33554432,1,64107679395,523407.3720443706,1910
CrossbeamSkipMap,33554432,2,34893121150,961634.5828094544,2079
CrossbeamSkipMap,33554432,4,16310410900,2057240.1397931671,1944
CrossbeamSkipMap,33554432,8,11537688822,2908245.534930583,2750
CrossbeamSkipMap,33554432,12,7752635348,4328132.369679462,2772
CrossbeamSkipMap,33554432,16,6823497990,4917482.506651988,3253
CrossbeamSkipMap,33554432,24,5351023369,6270656.9727185955,3827
CrossbeamSkipMap,33554432,32,3691634525,9089315.7956908,3520
CrossbeamSkipMap,33554432,48,4884162538,6870048.189211184,6986
CrossbeamSkipMap,33554432,64,3575258504,9385176.473941477,6819
CrossbeamSkipMap,33554432,96,2622380088,12795411.372113805,7502
CrossbeamSkipMap,33554432,128,4550669636,7373515.259062853,17359
CrossbeamSkipMap,33554432,192,3053469923,10988951.20834632,17472
DashMap,33554432,1,4680723039,7168642.904188718,139
DashMap,33554432,2,3038816944,11041939.221199762,181
DashMap,33554432,4,1609134497,20852471.973323185,191
DashMap,33554432,8,1462834299,22937958.19727358,348
DashMap,33554432,12,932383116,35987815.97842662,333
DashMap,33554432,16,864385902,38818809.88845651,412
DashMap,33554432,24,687894407,48778463.17479944,492
DashMap,33554432,32,302550808,110905114.4890679,288
DashMap,33554432,48,369097746,90909338.68775238,527
DashMap,33554432,64,285419377,117561857.05639741,544
DashMap,33554432,96,305788692,109730781.01920134,874
DashMap,33554432,128,360702075,93025336.76857834,1375
DashMap,33554432,192,309512228,108410682.88907798,1771
Flurry,33554432,1,7070841729,4745465.00770644,210
Flurry,33554432,2,3534240374,9494100.131628456,210
Flurry,33554432,4,1732878654,19363405.46555085,206
Flurry,33554432,8,1145010434,29304913.740200903,272
Flurry,33554432,12,789595275,42495735.55262219,282
Flurry,33554432,16,626222526,53582282.02733161,298
Flurry,33554432,24,570238768,58842775.838769354,407
Flurry,33554432,32,443193376,75710590.0427537,422
Flurry,33554432,48,480774863,69792400.9392313,687
Flurry,33554432,64,283332011,118427959.76907812,540
Flurry,33554432,96,351231864,95533564.68819697,1004
Flurry,33554432,128,338197445,99215510.04029614,1290
Flurry,33554432,192,391846000,85631681.83418995,2242
Evmap,33554432,1,6632074162,5059417.488462036,197
Evmap,33554432,2,3871492149,8667054.125026977,230
Evmap,33554432,4,2083630262,16103832.14908404,248
Evmap,33554432,8,1710072687,19621640.796371598,407
Evmap,33554432,12,2016247610,16642019.478946833,721
Evmap,33554432,16,1875283345,17892993.125260223,894
Evmap,33554432,24,1916805882,17505388.68598902,1371
Evmap,33554432,32,2763995696,12139827.876200862,2635
Evmap,33554432,48,3374969760,9942143.007527273,4827
Evmap,33554432,64,3115894033,10768797.54081162,5943
Evmap,33554432,96,3122229530,10746945.94923007,8932
Evmap,33554432,128,3181569197,10546503.917513255,12136
Evmap,33554432,192,3979445353,8431936.871479888,22770
Contrie,33554432,1,11601867538,2892157.8263239088,345
Contrie,33554432,2,6023056972,5570996.9465651605,359
Contrie,33554432,4,2936662777,11426041.921734754,350
Contrie,33554432,8,2298657007,14597407.050211558,548
Contrie,33554432,12,1618044921,20737639.335292593,578
Contrie,33554432,16,1353772979,24785863.302417118,645
Contrie,33554432,24,781733350,42923116.942625,559
Contrie,33554432,32,575867789,58267596.55765361,549
Contrie,33554432,48,567235498,59154323.23666035,811
Contrie,33554432,64,498977240,67246417.89272794,951
Contrie,33554432,96,479735615,69943591.74271438,1372
Contrie,33554432,128,433427161,77416541.96885921,1653
Contrie,33554432,192,496208083,67621695.71510184,2839
SccMap,33554432,1,4498604961,7458852.753441402,134
SccMap,33554432,2,2720533241,12333770.26765026,162
SccMap,33554432,4,1412258713,23759408.733773556,168
SccMap,33554432,8,1352793951,24803801.033554446,322
SccMap,33554432,12,1045223266,32102645.522243857,373
SccMap,33554432,16,715744683,46880448.84854562,341
SccMap,33554432,24,574383563,58418161.94172673,410
SccMap,33554432,32,265214303,126518184.05133301,252
SccMap,33554432,48,272864079,122971232.1349561,390
SccMap,33554432,64,191895637,174857711.85094738,366
SccMap,33554432,96,214569590,156380184.16309598,613
SccMap,33554432,128,173064262,193884234.74743736,660
SccMap,33554432,192,264464920,126876683.68266007,1513
